"Works Package Name","Description (Inclusions & Exclusions)"
"Balustrading & Metalwork","Includes balustrades, handrails, architectural metalwork, and secondary steelwork. Excludes primary structural steel."
"Curtain walling, Windows & External Door","Includes external glazed facades, windows, and external doors. Excludes internal doors and internal glazed partitions."
Demolition,"Includes all site clearance, demolition, and removal of materials. Excludes groundworks excavation."
Groundworks,"Includes excavation, earthworks, foundations, and below-ground drainage. Excludes piling and structural frame."
Highways,"Includes public road construction, Section 278 works, and major paving. Excludes internal site landscaping."
Lifts,"Includes passenger and goods lifts, escalators, and moving walkways. Excludes lift shaft construction."
Masonry,"Includes brickwork, blockwork, damp proof courses, and wall ties. Excludes external stone cladding."
"Mechanical & Electrical","Includes HVAC, plumbing, water supply, lighting, power, and fire alarms. Excludes external utilities infrastructure."
"Metal Doors","Includes steel doors, security doors, and louvres. Excludes timber doors and glazed doors."
"PCC Lift Shaft & Stairs","Includes precast concrete stairs, landings, and lift shaft panels. Excludes in-situ concrete."
Piling,"Includes bored, driven, and CFA piling, and pile caps. Excludes general groundworks excavation."
"Roofing (Hotmelt)","Includes hot melt roofing systems, insulation, and roof coverings. Excludes structural roof decking."
SFS,"Includes Steel Framing Systems, infill framing, and external boarding. Excludes internal metal stud partitions."
"Siphonic Drainage","Includes siphonic roof drainage systems and associated pipework. Excludes below-ground drainage."
"Structural Steelwork","Includes primary steel frame, columns, and structural beams. Excludes secondary steel and SFS."
"Metal Decking","Includes profiled steel decking for composite floors. Excludes concrete topping."
"Raised Access Floors","Includes pedestals, floor panels, and stringers. Excludes floor finishes."
"Ceramic Tiling","Includes wall and floor tiling, grout, and adhesives. Excludes screeding."
Cladding,"Includes external rainscreen, panels, and weatherproofing. Excludes masonry facades."
Joinery,"Includes internal timber doors, skirting, architraves, and fitted furniture. Excludes structural timber."
"Painting and Decorating","Includes painting to walls, ceilings, and woodwork. Excludes specialist intumescent coatings."
"Road Markings","Includes line painting, symbols, and reflective studs on hardstandings. Excludes road surfacing."
Screeding,"Includes floor screeds, levelling compounds, and acoustic underlays. Excludes final floor finishes."
Signage,"Includes internal and external wayfinding, statutory, and architectural signage."
"Wall Protection Rails","Includes crash rails, corner guards, and handrails for wall protection."
Scaffold/Hoist,"Includes temporary access scaffolding, hoists, and edge protection. Excludes permanent works."
