"Works Package","Description (Inclusions & Exclusions)"
"0.1.1 - Toxic or hazardous material removal","Context: Belongs to Group Element: 'Facilitating works' -> Element: 'Toxic/hazardous/contaminated material treatment'. Scope: Includes materials and labour for Toxic or hazardous material removal."
"0.1.2 - Contaminated land","Context: Belongs to Group Element: 'Facilitating works' -> Element: 'Toxic/hazardous/contaminated material treatment'. Scope: Includes materials and labour for Contaminated land."
"0.1.3 - Eradication of plant growth","Context: Belongs to Group Element: 'Facilitating works' -> Element: 'Toxic/hazardous/contaminated material treatment'. Scope: Includes materials and labour for Eradication of plant growth."
"0.2.1 - Demolition works","Context: Belongs to Group Element: 'Facilitating works' -> Element: 'Major demolition works'. Scope: Includes materials and labour for Demolition works."
"0.2.2 - Soft strip works","Context: Belongs to Group Element: 'Facilitating works' -> Element: 'Major demolition works'. Scope: Includes materials and labour for Soft strip works."
"0.3.1 - Temporary support for adjacent structures","Context: Belongs to Group Element: 'Facilitating works' -> Element: 'Temporary support for adjacent structures'. Scope: Includes materials and labour for Temporary support for adjacent structures."
"0.4.1 - Site dewatering and pumping","Context: Belongs to Group Element: 'Facilitating works' -> Element: 'Specialist groundworks'. Scope: Includes materials and labour for Site dewatering and pumping."
"0.4.2 - Soil stabilisation measures","Context: Belongs to Group Element: 'Facilitating works' -> Element: 'Specialist groundworks'. Scope: Includes materials and labour for Soil stabilisation measures."
"0.4.3 - Ground gas venting measures","Context: Belongs to Group Element: 'Facilitating works' -> Element: 'Specialist groundworks'. Scope: Includes materials and labour for Ground gas venting measures."
"0.5.1 - Temporary diversion works","Context: Belongs to Group Element: 'Facilitating works' -> Element: 'Temporary diversion works'. Scope: Includes materials and labour for Temporary diversion works."
"0.6.1 - Archaeological investigation","Context: Belongs to Group Element: 'Facilitating works' -> Element: 'Extraordinary site investigation works'. Scope: Includes materials and labour for Archaeological investigation."
"0.6.2 - Reptile/wildlife harm mitigation measures","Context: Belongs to Group Element: 'Facilitating works' -> Element: 'Extraordinary site investigation works'. Scope: Includes materials and labour for Reptile/wildlife harm mitigation measures."
"0.6.3 - Other extraordinary site investigation works","Context: Belongs to Group Element: 'Facilitating works' -> Element: 'Extraordinary site investigation works'. Scope: Includes materials and labour for Other extraordinary site investigation works."
"1.1.1 - Standard foundations","Context: Belongs to Group Element: 'Substructure' -> Element: 'Substructure'. Scope: Includes materials and labour for Standard foundations."
"1.1.2 - Specialist foundations","Context: Belongs to Group Element: 'Substructure' -> Element: 'Substructure'. Scope: Includes materials and labour for Specialist foundations."
"1.1.3 - Lowest floor construction","Context: Belongs to Group Element: 'Substructure' -> Element: 'Substructure'. Scope: Includes materials and labour for Lowest floor construction."
"1.1.4 - Basement excavation","Context: Belongs to Group Element: 'Substructure' -> Element: 'Substructure'. Scope: Includes materials and labour for Basement excavation."
"1.1.5 - Basement retaining walls","Context: Belongs to Group Element: 'Substructure' -> Element: 'Substructure'. Scope: Includes materials and labour for Basement retaining walls."
"2.1.1 - Steel frames","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Frame'. Scope: Includes materials and labour for Steel frames."
"2.1.2 - Space frames/decks","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Frame'. Scope: Includes materials and labour for Space frames/decks."
"2.1.3 - Concrete casings for steel frames","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Frame'. Scope: Includes materials and labour for Concrete casings for steel frames."
"2.1.4 - Concrete frames","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Frame'. Scope: Includes materials and labour for Concrete frames."
"2.1.5 - Timber frames","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Frame'. Scope: Includes materials and labour for Timber frames."
"2.1.6 - Specialist frames","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Frame'. Scope: Includes materials and labour for Specialist frames."
"2.2.1 - Floors","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Upper floors'. Scope: Includes materials and labour for Floors."
"2.2.2 - Balconies","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Upper floors'. Scope: Includes materials and labour for Balconies."
"2.2.3 - Drainage for balconies","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Upper floors'. Scope: Includes materials and labour for Drainage for balconies."
"2.3.1 - Roof structure","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Roof'. Scope: Includes materials and labour for Roof structure."
"2.3.2 - Roof coverings","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Roof'. Scope: Includes materials and labour for Roof coverings."
"2.3.3 - Specialist roof systems","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Roof'. Scope: Includes materials and labour for Specialist roof systems."
"2.3.4 - Roof drainage","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Roof'. Scope: Includes materials and labour for Roof drainage."
"2.3.5 - Rooflights, skylights and openings","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Roof'. Scope: Includes materials and labour for Rooflights, skylights and openings."
"2.3.6 - Roof features","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Roof'. Scope: Includes materials and labour for Roof features."
"2.4.1 - Stair/ramp structures","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Stairs and ramps'. Scope: Includes materials and labour for Stair/ramp structures."
"2.4.2 - Stair/ramp finishes","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Stairs and ramps'. Scope: Includes materials and labour for Stair/ramp finishes."
"2.4.3 - Stair/ramp balustrades and handrails","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Stairs and ramps'. Scope: Includes materials and labour for Stair/ramp balustrades and handrails."
"2.4.4 - Ladders/chutes/slides","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Stairs and ramps'. Scope: Includes materials and labour for Ladders/chutes/slides."
"2.5.1 - External enclosing walls above ground level","Context: Belongs to Group Element: 'Superstructure' -> Element: 'External walls'. Scope: Includes materials and labour for External enclosing walls above ground level."
"2.5.2 - External enclosing walls below ground level","Context: Belongs to Group Element: 'Superstructure' -> Element: 'External walls'. Scope: Includes materials and labour for External enclosing walls below ground level."
"2.5.3 - Solar/rain screening","Context: Belongs to Group Element: 'Superstructure' -> Element: 'External walls'. Scope: Includes materials and labour for Solar/rain screening."
"2.5.4 - External soffits","Context: Belongs to Group Element: 'Superstructure' -> Element: 'External walls'. Scope: Includes materials and labour for External soffits."
"2.5.5 - Subsidiary walls, balustrades and proprietary balconies","Context: Belongs to Group Element: 'Superstructure' -> Element: 'External walls'. Scope: Includes materials and labour for Subsidiary walls, balustrades and proprietary balconies."
"2.5.6 - Facade access/cleaning systems","Context: Belongs to Group Element: 'Superstructure' -> Element: 'External walls'. Scope: Includes materials and labour for Facade access/cleaning systems."
"2.6.1 - External windows","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Windows and external doors'. Scope: Includes materials and labour for External windows."
"2.6.2 - External doors","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Windows and external doors'. Scope: Includes materials and labour for External doors."
"2.7.1 - Walls and partitions","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Internal walls and partitions'. Scope: Includes materials and labour for Walls and partitions."
"2.7.2 - Balustrades and handrails","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Internal walls and partitions'. Scope: Includes materials and labour for Balustrades and handrails."
"2.7.3 - Movable room dividers","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Internal walls and partitions'. Scope: Includes materials and labour for Movable room dividers."
"2.7.4 - Cubicles","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Internal walls and partitions'. Scope: Includes materials and labour for Cubicles."
"2.8.1 - Internal doors","Context: Belongs to Group Element: 'Superstructure' -> Element: 'Internal doors'. Scope: Includes materials and labour for Internal doors."
"3.1.1 - Wall finishes","Context: Belongs to Group Element: 'Internal finishes' -> Element: 'Wall finishes'. Scope: Includes materials and labour for Wall finishes."
"3.2.1 - Finishes to floors","Context: Belongs to Group Element: 'Internal finishes' -> Element: 'Floor finishes'. Scope: Includes materials and labour for Finishes to floors."
"3.2.2 - Raised access floors","Context: Belongs to Group Element: 'Internal finishes' -> Element: 'Floor finishes'. Scope: Includes materials and labour for Raised access floors."
"3.3.1 - Finishes to ceilings","Context: Belongs to Group Element: 'Internal finishes' -> Element: 'Ceiling finishes'. Scope: Includes materials and labour for Finishes to ceilings."
"3.3.2 - False ceilings","Context: Belongs to Group Element: 'Internal finishes' -> Element: 'Ceiling finishes'. Scope: Includes materials and labour for False ceilings."
"3.3.3 - Demountable suspended ceilings","Context: Belongs to Group Element: 'Internal finishes' -> Element: 'Ceiling finishes'. Scope: Includes materials and labour for Demountable suspended ceilings."
"4.1.1 - General fittings, furnishings and equipment","Context: Belongs to Group Element: 'Fittings, furnishings and equipment' -> Element: 'Fittings, furnishings and equipment'. Scope: Includes materials and labour for General fittings, furnishings and equipment."
